call_id,hcp_id,call_date,channel
CALL0000,HCP008,2026-06-04,Field Visit
CALL0001,HCP014,2026-07-06,Email Detailing
CALL0002,HCP012,2026-02-01,Field Visit
CALL0003,HCP009,2026-05-22,Email Detailing
CALL0004,HCP011,2026-06-08,Email Detailing
CALL0005,HCP002,2026-02-19,Field Visit
CALL0006,HCP007,2026-06-19,Virtual call
CALL0007,HCP007,2026-01-21,Field Visit
CALL0008,HCP008,2026-04-08,Virtual call
CALL0009,HCP011,2026-06-12,Field Visit
CALL0010,HCP011,2026-04-05,Field Visit
CALL0011,HCP008,2026-06-21,Email Detailing
CALL0012,HCP002,2026-08-28,Email Detailing
CALL0013,HCP005,2026-06-12,Email Detailing
CALL0014,HCP007,2026-07-06,Field Visit
CALL0015,HCP012,2026-04-29,Virtual call
CALL0016,HCP017,2026-08-25,Field Visit
CALL0017,HCP010,2026-06-25,Field Visit
CALL0018,HCP001,2026-02-28,Virtual call
CALL0019,HCP008,2026-04-13,Field Visit
CALL0020,HCP018,2026-02-24,Email Detailing
CALL0021,HCP006,2026-03-22,Email Detailing
CALL0022,HCP012,2026-05-08,Email Detailing
CALL0023,HCP004,2026-04-28,Virtual call
CALL0024,HCP007,2026-02-05,Email Detailing
CALL0025,HCP017,2026-05-24,Virtual call
CALL0026,HCP018,2026-07-11,Virtual call
CALL0027,HCP018,2026-08-18,Virtual call
CALL0028,HCP007,2026-04-03,Field Visit
CALL0029,HCP015,2026-05-11,Field Visit
CALL0030,HCP001,2026-07-13,Field Visit
CALL0031,HCP005,2026-02-09,Email Detailing
CALL0032,HCP019,2026-04-19,Field Visit
CALL0033,HCP012,2026-04-09,Email Detailing
CALL0034,HCP016,2026-04-30,Virtual call
CALL0035,HCP000,2026-05-22,Email Detailing
CALL0036,HCP003,2026-07-04,Email Detailing
CALL0037,HCP017,2026-08-15,Virtual call
CALL0038,HCP010,2026-07-16,Field Visit
CALL0039,HCP013,2026-03-17,Field Visit
CALL0040,HCP000,2026-04-27,Email Detailing
CALL0041,HCP008,2026-08-13,Email Detailing
CALL0042,HCP005,2026-07-15,Email Detailing
CALL0043,HCP003,2026-08-22,Email Detailing
CALL0044,HCP016,2026-03-18,Email Detailing
CALL0045,HCP004,2026-02-20,Virtual call
CALL0046,HCP005,2026-07-15,Email Detailing
CALL0047,HCP016,2026-07-19,Field Visit
CALL0048,HCP010,2026-06-03,Virtual call
CALL0049,HCP003,2026-01-05,Virtual call
CALL0050,HCP009,2026-08-13,Field Visit
